Campaign,Keyword,Match Type
Search-1,apprentice,Broad
Search-1,apprenticeship,Broad
Search-1,career,Broad
Search-1,certification,Broad
Search-1,cheap,Broad
Search-1,cheapest,Broad
Search-1,class,Broad
Search-1,coupon,Broad
Search-1,course,Broad
Search-1,craigslist,Broad
Search-1,depot,Broad
Search-1,discount,Broad
Search-1,diy,Broad
Search-1,estimating software,Broad
Search-1,exam,Broad
Search-1,for sale,Broad
Search-1,free,Broad
Search-1,hiring,Broad
Search-1,home depot,Broad
Search-1,how to,Broad
Search-1,indeed,Broad
Search-1,insurance,Broad
Search-1,jobs,Broad
Search-1,lawsuit,Broad
Search-1,license,Broad
Search-1,licensing,Broad
Search-1,lowes,Broad
Search-1,rent,Broad
Search-1,rental,Broad
Search-1,resume,Broad
Search-1,salary,Broad
Search-1,school,Broad
Search-1,software,Broad
Search-1,supplier,Broad
Search-1,supplies,Broad
Search-1,supply,Broad
Search-1,takeoff,Broad
Search-1,training,Broad
Search-1,tutorial,Broad
Search-1,union,Broad
Search-1,used,Broad
Search-1,wholesale,Broad
Search-1,yard,Broad
Search-1,youtube,Broad
